boolean is Datatype.
fallOccursAtTime is ObjectProperty.
fallOccursAtTime Domain Fall.
fallOccursAtTime Range CalendarClockDescription.
hasConfirmedStatusOfFall is ObjectProperty.
hasConfirmedStatusOfFall Domain Fall.
hasConfirmedStatusOfFall Range ConfirmedStatusOfFall.
hasFallHeight is ObjectProperty.
hasFallHeight Domain Fall.
hasFallHeight Range FallHeight.
hasFallMechanism is ObjectProperty.
hasFallMechanism Domain Fall.
hasFallMechanism Range FallMechanism.
hasMinimisationStrategyToPreventFallAtTime is ObjectProperty.
hasMinimisationStrategyToPreventFallAtTime Domain Fall.
hasMinimisationStrategyToPreventFallAtTime Range HasMinimisationStrategyToPreventItRelation.
hasNextHealthCareFacilityStay is ObjectProperty.
hasNextPressureUlcerStageSequenceItem is ObjectProperty.
injures is ObjectProperty.
injures Domain Fall.
injures Range Patient.
injures InverseOf isInjuredIn.
involves is ObjectProperty.
involves Domain Fall.
involves InverseOf isInvolvedInFall.
involvesContributingFactor is ObjectProperty.
involvesContributingFactor SubPropertyOf involves.
involvesContributingFactor Domain Fall.
Activity or BuildingStructure or www.ICPS/ontologies/Clothing.# is www.ICPS/ontologies/Activity.#.
Activity or BuildingStructure or www.ICPS/ontologies/Clothing.# InverseOf isContributingFactorInvolvedInFall.
involvesFailure is ObjectProperty.
involvesFailure SubPropertyOf involves.
involvesFailure Domain Fall.
involvesFailure Range RestraintSafetyDeviceFailure.
involvesFailure InverseOf isFailureInvolvedInFall.
involvesPersonPlayingRole is ObjectProperty.
involvesPersonPlayingRole SubPropertyOf involves.
involvesPersonPlayingRole Domain Fall.
involvesPersonPlayingRole Range PersonPlayingRole.
involvesPersonPlayingRole InverseOf isPersonInvolvedInFall.
isAssistedByPersonPlayingRole is ObjectProperty.
isAssistedByPersonPlayingRole Domain Fall.
isAssistedByPersonPlayingRole Range PersonPlayingRole.
isCausedBy is ObjectProperty.
isCausedBy Domain Fall.
isCausedByContributingFactor is ObjectProperty.
isCausedByContributingFactor SubPropertyOf isCausedBy.
isCausedByContributingFactor Domain Fall.
Activity or BuildingStructure or www.ICPS/ontologies/Clothing.# is www.ICPS/ontologies/Activity.#.
Activity or BuildingStructure or www.ICPS/ontologies/Clothing.# InverseOf isContributingFactorThatCauses.
isCausedByFailure is ObjectProperty.
isCausedByFailure SubPropertyOf isCausedBy.
isCausedByFailure Domain Fall.
isCausedByFailure Range RestraintSafetyDeviceFailure.
isCausedByFailure InverseOf isFailureThatCauses.
isCausedByPersonPlayingRole is ObjectProperty.
isCausedByPersonPlayingRole SubPropertyOf isCausedBy.
isCausedByPersonPlayingRole Domain Fall.
isCausedByPersonPlayingRole Range PersonPlayingRole.
isCausedByPersonPlayingRole InverseOf isPersonWhoCauses.
isContributingFactorInvolvedInFall is ObjectProperty.
