www.obofoundry.org/ro/ro.# is ObjectProperty
IAO_0000009 is Class
IAO_0000009 SubClassOf TMO_0137
IAO_0000028 is Class
IAO_0000028 SubClassOf TMO_0137
IAO_0000030 is Class
IAO_0000030 DisjointWith TMO_0164
IAO_0000033 is Class
IAO_0000033 SubClassOf TMO_0089
IAO_0000109 is Class
IAO_0000109 SubClassOf TMO_0099
IAO_0000300 is Class
IAO_0000300 SubClassOf TMO_0089
IAO_0000302 is Class
IAO_0000302 SubClassOf IAO_0000009
IAO_0000303 is Class
IAO_0000303 SubClassOf IAO_0000009
IAO_0000306 is Class
IAO_0000306 SubClassOf TMO_0089
IAO_0000308 is Class
IAO_0000308 SubClassOf TMO_0089
IAO_0000310 is Class
IAO_0000313 is Class
IAO_0000313 EquivalentTo TMO_0012
IAO_0000313 SubClassOf IAO_0000310
IAO_0000313 DisjointWith TMO_0012
IAO_0000400 is Class
IAO_0000400 SubClassOf TMO_0116
IAO_0000442 is Class
IAO_0000442 DisjointWith TMO_0221
IAO_0000442 DisjointWith TMO_0074
IAO_0000442 DisjointWith TMO_0073
IAO_0000442 DisjointWith TMO_0006
TMO_0005 is Class
TMO_0005 SubClassOf TMO_0089
TMO_0006 is Class
TMO_0006 DisjointWith IAO_0000442
TMO_0007 is Class
TMO_0007 SubClassOf TMO_0059
TMO_0011 is Class
TMO_0011 SubClassOf TMO_0106
TMO_0012 is Class
TMO_0012 EquivalentTo IAO_0000313
TMO_0012 SubClassOf IAO_0000310
TMO_0012 DisjointWith IAO_0000313
TMO_0015 is Class
TMO_0015 SubClassOf TMO_0136
TMO_0016 is Class
TMO_0016 SubClassOf IAO_0000033
TMO_0018 is Class
TMO_0018 SubClassOf TMO_0089
TMO_0020 is Class
TMO_0020 SubClassOf TMO_0098
TMO_0021 is Class
TMO_0021 SubClassOf TMO_0016
TMO_0042 is Class
TMO_0042 SubClassOf TMO_0090
TMO_0044 is Class
TMO_0044 SubClassOf TMO_0090
TMO_0053 is Class
TMO_0053 SubClassOf TMO_0092
TMO_0054 is Class
TMO_0054 SubClassOf TMO_0097
TMO_0055 is Class
TMO_0055 SubClassOf TMO_0135
TMO_0059 is Class
TMO_0059 SubClassOf TMO_0089
TMO_0068 is Class
TMO_0068 SubClassOf TMO_0151
TMO_0073 is Class
TMO_0073 DisjointWith IAO_0000442
TMO_0074 is Class
TMO_0074 DisjointWith IAO_0000442
TMO_0077 is Class
TMO_0077 SubClassOf TMO_0151
TMO_0089 is Class
TMO_0089 SubClassOf IAO_0000030
TMO_0090 is Class
TMO_0090 SubClassOf TMO_0089
TMO_0092 is Class
TMO_0092 SubClassOf TMO_0089
TMO_0094 is Class
TMO_0094 SubClassOf IAO_0000030
TMO_0097 is Class
TMO_0097 SubClassOf TMO_0089
TMO_0098 is Class
TMO_0098 SubClassOf TMO_0097
TMO_0099 is Class
TMO_0099 SubClassOf TMO_0101
TMO_0100 is Class
TMO_0100 SubClassOf TMO_0120
TMO_0101 is Class
TMO_0101 SubClassOf TMO_0120
TMO_0103 is Class
