BFO_0000162 is ObjectProperty
OGG_0000000013 is Class
OGG_0000000013 DisjointWith OGG_3000019817
OGG_2030010090 is Class
OGG_2030010090 SubClassOf OGG_2110010090,
OGG_2030010090 SubClassOf BFO_0000162 some OGG_0000000013,
OGG_2030010090 SubClassOf BFO_0000162 only OGG_3000019817
OGG_2110010090 is Class
OGG_3000019817 is Class
OGG_3000019817 SubClassOf OGG_2030010090
OGG_3000019817 DisjointWith OGG_0000000013
OGG_3000019842 is Class
OGG_3000019842 SubClassOf OGG_2030010090
OGG_3000019844 is Class
OGG_3000019844 SubClassOf OGG_2030010090
OGG_3000019845 is Class
OGG_3000019845 SubClassOf OGG_2030010090
OGG_3000019847 is Class
OGG_3000019847 SubClassOf OGG_2030010090
OGG_3000019848 is Class
OGG_3000019848 SubClassOf OGG_2030010090
OGG_3000019850 is Class
OGG_3000019850 SubClassOf OGG_2030010090
OGG_3000019858 is Class
OGG_3000019858 SubClassOf OGG_2030010090
OGG_3000019859 is Class
OGG_3000019859 SubClassOf OGG_2030010090
OGG_3000019860 is Class
OGG_3000019860 SubClassOf OGG_2030010090
OGG_3000019861 is Class
OGG_3000019861 SubClassOf OGG_2030010090
OGG_3000019862 is Class
OGG_3000019862 SubClassOf OGG_2030010090
OGG_3000019866 is Class
OGG_3000019866 SubClassOf OGG_2030010090
OGG_3000019871 is Class
OGG_3000019871 SubClassOf OGG_2030010090
OGG_3000097418 is Class
OGG_3000097418 SubClassOf OGG_2030010090
OGG_3000104307 is Class
OGG_3000104307 SubClassOf OGG_2030010090
OGG_3000111971 is Class
OGG_3000111971 SubClassOf OGG_2030010090
OGG_3000111972 is Class
OGG_3000111972 SubClassOf OGG_2030010090
OGG_3000111973 is Class
OGG_3000111973 SubClassOf OGG_2030010090
OGG_3000353373 is Class
OGG_3000353373 SubClassOf OGG_2030010090
www.w3.org/2002/07/# is Class
