float is Datatype.
has-for-subject-at is ObjectProperty.
has-for-subject-at SubPropertyOf uses-at.
has-for-subject-at Domain proposition.
has-for-subject-at Range concept.
has-for-subject-at InverseOf is-subject-of-at.
is-subject-of-at is ObjectProperty.
is-subject-of-at InverseOf has-for-subject-at.
uses-at is ObjectProperty.
uses-at Domain proposition.
uses-at Range concept.
refers-to-number is DataProperty.
refers-to-number Domain proposition.
refers-to-number Range float.
assessment-instrument is Class.
assessment-instrument SubClassOf proposition.
instrument-variable is Class.
instrument-variable SubClassOf proposition.
concept is Class.
concept EquivalentTo proposition.
concept DisjointWith proposition.
conceptualization is Class.
conceptualization SubClassOf model.
message is Class.
message SubClassOf proposition.
model is Class.
model SubClassOf proposition.
proposition is Class.
proposition EquivalentTo concept.
proposition SubClassOf conceptualization.
proposition DisjointWith concept.
www.w3.org/2002/07/# is Class.
