www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
BFO_0000051 is ObjectProperty.
RO_0000087 is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
CHEBI_100000 is Class.
CHEBI_100000 SubClassOf CHEBI_22712,.
CHEBI_100000 SubClassOf CHEBI_36820,.
CHEBI_100000 SubClassOf CHEBI_38777.
CHEBI_100008 is Class.
CHEBI_100008 SubClassOf CHEBI_22712,.
CHEBI_100008 SubClassOf CHEBI_36820,.
CHEBI_100008 SubClassOf CHEBI_38777.
CHEBI_100009 is Class.
CHEBI_100009 SubClassOf CHEBI_22712,.
CHEBI_100009 SubClassOf CHEBI_36820,.
CHEBI_100009 SubClassOf CHEBI_38777.
CHEBI_100024 is Class.
CHEBI_100024 SubClassOf CHEBI_22712,.
CHEBI_100024 SubClassOf CHEBI_36820,.
CHEBI_100024 SubClassOf CHEBI_38777.
CHEBI_100032 is Class.
CHEBI_100032 SubClassOf CHEBI_22712,.
CHEBI_100032 SubClassOf CHEBI_36820,.
CHEBI_100032 SubClassOf CHEBI_38777.
CHEBI_100044 is Class.
CHEBI_100044 SubClassOf CHEBI_13248.
CHEBI_100071 is Class.
CHEBI_100071 SubClassOf CHEBI_22712,.
CHEBI_100071 SubClassOf CHEBI_36820,.
CHEBI_100071 SubClassOf CHEBI_38777.
CHEBI_100112 is Class.
CHEBI_100112 SubClassOf CHEBI_22712,.
CHEBI_100112 SubClassOf CHEBI_36820,.
CHEBI_100112 SubClassOf CHEBI_38777.
CHEBI_100117 is Class.
CHEBI_100117 SubClassOf CHEBI_26151.
CHEBI_10012 is Class.
CHEBI_100141 is Class.
CHEBI_100141 SubClassOf CHEBI_33836.
CHEBI_100146 is Class.
CHEBI_100164 is Class.
CHEBI_100164 SubClassOf CHEBI_22712,.
CHEBI_100164 SubClassOf CHEBI_36820,.
CHEBI_100164 SubClassOf CHEBI_38777.
CHEBI_100165 is Class.
CHEBI_100165 SubClassOf CHEBI_33836.
CHEBI_100219 is Class.
CHEBI_100219 SubClassOf CHEBI_22712,.
CHEBI_100219 SubClassOf CHEBI_36820,.
CHEBI_100219 SubClassOf CHEBI_38777.
CHEBI_100223 is Class.
CHEBI_100223 SubClassOf CHEBI_26151.
CHEBI_100233 is Class.
CHEBI_100233 SubClassOf CHEBI_22712,.
CHEBI_100233 SubClassOf CHEBI_36820,.
CHEBI_100233 SubClassOf CHEBI_38777.
CHEBI_100267 is Class.
CHEBI_100267 SubClassOf CHEBI_22712,.
CHEBI_100267 SubClassOf CHEBI_36820,.
CHEBI_100267 SubClassOf CHEBI_38777.
CHEBI_100271 is Class.
CHEBI_100271 SubClassOf CHEBI_22712,.
CHEBI_100271 SubClassOf CHEBI_36820,.
CHEBI_100271 SubClassOf CHEBI_38777.
CHEBI_100288 is Class.
CHEBI_100288 SubClassOf CHEBI_22712,.
CHEBI_100288 SubClassOf CHEBI_36820,.
CHEBI_100288 SubClassOf CHEBI_38777.
CHEBI_100289 is Class.
