www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
BFO_0000051 is ObjectProperty.
RO_0000087 is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
chebi# is ObjectProperty.
CHEBI_100000 is Class.
CHEBI_100000 SubClassOf CHEBI_36820.
CHEBI_100008 is Class.
CHEBI_100008 SubClassOf CHEBI_36820.
CHEBI_100009 is Class.
CHEBI_100009 SubClassOf CHEBI_36820.
CHEBI_100024 is Class.
CHEBI_100024 SubClassOf CHEBI_36820.
CHEBI_100032 is Class.
CHEBI_100032 SubClassOf CHEBI_36820.
CHEBI_100071 is Class.
CHEBI_100071 SubClassOf CHEBI_36820.
CHEBI_100093 is Class.
CHEBI_100093 SubClassOf CHEBI_50511.
CHEBI_100112 is Class.
CHEBI_100112 SubClassOf CHEBI_36820.
CHEBI_100118 is Class.
CHEBI_100118 SubClassOf CHEBI_50511.
CHEBI_100120 is Class.
CHEBI_100120 SubClassOf CHEBI_46867.
CHEBI_100135 is Class.
CHEBI_100135 SubClassOf CHEBI_50511.
CHEBI_100164 is Class.
CHEBI_100164 SubClassOf CHEBI_36820.
CHEBI_100178 is Class.
CHEBI_100178 SubClassOf CHEBI_50511.
CHEBI_100219 is Class.
CHEBI_100219 SubClassOf CHEBI_36820.
CHEBI_100233 is Class.
CHEBI_100233 SubClassOf CHEBI_36820.
CHEBI_100246 is Class.
CHEBI_100246 SubClassOf CHEBI_23765,.
CHEBI_100246 SubClassOf CHEBI_26512,.
CHEBI_100246 SubClassOf CHEBI_46848,.
CHEBI_100246 SubClassOf CHEBI_86324,.
CHEBI_100246 SubClassOf CHEBI_87211,.
CHEBI_100246 SubClassOf RO_0000087 some CHEBI_35703,.
CHEBI_100246 SubClassOf RO_0000087 some CHEBI_36047,.
CHEBI_100246 SubClassOf RO_0000087 some CHEBI_59517,.
CHEBI_100246 SubClassOf RO_0000087 some CHEBI_78298.
CHEBI_100267 is Class.
CHEBI_100267 SubClassOf CHEBI_36820.
CHEBI_100271 is Class.
CHEBI_100271 SubClassOf CHEBI_36820.
CHEBI_100283 is Class.
CHEBI_100283 SubClassOf CHEBI_50511.
CHEBI_100288 is Class.
CHEBI_100288 SubClassOf CHEBI_36820.
CHEBI_100289 is Class.
CHEBI_100289 SubClassOf CHEBI_36820.
CHEBI_100326 is Class.
CHEBI_100326 SubClassOf CHEBI_36820.
CHEBI_100341 is Class.
CHEBI_100341 SubClassOf CHEBI_50511.
CHEBI_100355 is Class.
CHEBI_100355 SubClassOf CHEBI_36820.
CHEBI_10042 is Class.
CHEBI_10042 SubClassOf CHEBI_26410,.
CHEBI_10042 SubClassOf CHEBI_36820.
CHEBI_100431 is Class.
CHEBI_100431 SubClassOf CHEBI_36820.
CHEBI_100435 is Class.
CHEBI_100435 SubClassOf CHEBI_50511.
CHEBI_100437 is Class.
CHEBI_100437 SubClassOf CHEBI_36820.
CHEBI_10057 is Class.
CHEBI_10057 SubClassOf CHEBI_36440.
CHEBI_100573 is Class.
