integer is Datatype.
MOSAIC_00000006 is ObjectProperty.
MOSAIC_00000006 Domain MOSAIC_00000001.
MOSAIC_00000006 Range MOSAIC_00000003.
MOSAIC_00000006 InverseOf MOSAIC_00000007.
MOSAIC_00000007 is ObjectProperty.
MOSAIC_00000007 InverseOf MOSAIC_00000006.
MOSAIC_00002204 is ObjectProperty.
MOSAIC_00002204 Domain MOSAIC_00000001.
MOSAIC_00002204 Range Event.
MOSAIC_00002204 InverseOf MOSAIC_00002205.
MOSAIC_00002205 is ObjectProperty.
MOSAIC_00002205 InverseOf MOSAIC_00002204.
MOSAIC_00002206 is ObjectProperty.
MOSAIC_00002206 Domain MOSAIC_00000041.
MOSAIC_00002206 Range MOSAIC_00000040.
MOSAIC_00002206 InverseOf MOSAIC_00011182.
MOSAIC_00002250 is ObjectProperty.
MOSAIC_00002250 Domain Event.
MOSAIC_00002250 Range MOSAIC_00000040.
MOSAIC_00011182 is ObjectProperty.
MOSAIC_00011182 InverseOf MOSAIC_00002206.
MOSAIC_00012001 is ObjectProperty.
MOSAIC_00012001 Domain MOSAIC_00000028.
hosts is ObjectProperty.
hosts Domain MOSAIC_00000001.
hosts Range Event.
hosts InverseOf isHostedBy.
isHostedBy is ObjectProperty.
isHostedBy InverseOf hosts.
deployedSystem is ObjectProperty.
deployedSystem Domain Event.
deployedSystem Range MOSAIC_00000040.
deployedSystem InverseOf hasDeployment.
hasDeployment is ObjectProperty.
hasDeployment InverseOf deployedSystem.
MOSAIC_00002200 is DataProperty.
MOSAIC_00002200 Domain MOSAIC_00000041.
MOSAIC_00002200 Range integer.
MOSAIC_00000001 is Class.
MOSAIC_00000001 SubClassOf MOSAIC_00012000.
MOSAIC_00000002 is Class.
MOSAIC_00000003 is Class.
MOSAIC_00000003 SubClassOf MOSAIC_00000002,.
MOSAIC_00000003 SubClassOf MOSAIC_00012000,.
MOSAIC_00000003 SubClassOf Person.
MOSAIC_00000028 is Class.
MOSAIC_00000028 SubClassOf MOSAIC_00012000.
MOSAIC_00000036 is Class.
MOSAIC_00000036 SubClassOf MOSAIC_00012000.
MOSAIC_00000040 is Class.
MOSAIC_00000040 SubClassOf MOSAIC_00012000.
MOSAIC_00000041 is Class.
MOSAIC_00000041 SubClassOf MOSAIC_00012000.
MOSAIC_00000252 is Class.
MOSAIC_00000252 SubClassOf MOSAIC_00000036.
MOSAIC_00000253 is Class.
MOSAIC_00000253 SubClassOf MOSAIC_00000036.
MOSAIC_00000254 is Class.
MOSAIC_00000254 SubClassOf MOSAIC_00000036.
MOSAIC_00000255 is Class.
MOSAIC_00000255 SubClassOf MOSAIC_00000036.
MOSAIC_00000256 is Class.
MOSAIC_00000256 SubClassOf MOSAIC_00000036.
MOSAIC_00000257 is Class.
MOSAIC_00000257 SubClassOf MOSAIC_00000036.
MOSAIC_00000258 is Class.
MOSAIC_00000258 SubClassOf MOSAIC_00000036.
MOSAIC_00000259 is Class.
MOSAIC_00000259 SubClassOf MOSAIC_00000036.
MOSAIC_00000795 is Class.
MOSAIC_00000795 SubClassOf MOSAIC_00000036.
MOSAIC_00000796 is Class.
MOSAIC_00000796 SubClassOf MOSAIC_00000036.
MOSAIC_00000797 is Class.
MOSAIC_00000797 SubClassOf MOSAIC_00000036.
MOSAIC_00000798 is Class.
MOSAIC_00000798 SubClassOf MOSAIC_00000036.
MOSAIC_00000799 is Class.
MOSAIC_00000799 SubClassOf MOSAIC_00000036.
MOSAIC_00000800 is Class.
MOSAIC_00000800 SubClassOf MOSAIC_00000036.
MOSAIC_00000801 is Class.
MOSAIC_00000801 SubClassOf MOSAIC_00000036.
MOSAIC_00000802 is Class.
MOSAIC_00000802 SubClassOf MOSAIC_00000036.
MOSAIC_00000803 is Class.
MOSAIC_00000803 SubClassOf MOSAIC_00000036.
MOSAIC_00000804 is Class.
MOSAIC_00000804 SubClassOf MOSAIC_00000036.
MOSAIC_00000805 is Class.
MOSAIC_00000805 SubClassOf MOSAIC_00000036.
MOSAIC_00000806 is Class.
MOSAIC_00000806 SubClassOf MOSAIC_00000036.
MOSAIC_00000807 is Class.
MOSAIC_00000807 SubClassOf MOSAIC_00000036.
MOSAIC_00000808 is Class.
MOSAIC_00000808 SubClassOf MOSAIC_00000036.
MOSAIC_00000809 is Class.
MOSAIC_00000809 SubClassOf MOSAIC_00000036.
MOSAIC_00000810 is Class.
MOSAIC_00000810 SubClassOf MOSAIC_00000036.
MOSAIC_00000811 is Class.
MOSAIC_00000811 SubClassOf MOSAIC_00000036.
MOSAIC_00000812 is Class.
MOSAIC_00000812 SubClassOf MOSAIC_00000036.
MOSAIC_00000813 is Class.
MOSAIC_00000813 SubClassOf MOSAIC_00000036.
MOSAIC_00000814 is Class.
MOSAIC_00000814 SubClassOf MOSAIC_00000036.
MOSAIC_00000815 is Class.
MOSAIC_00000815 SubClassOf MOSAIC_00000036.
MOSAIC_00000816 is Class.
MOSAIC_00000816 SubClassOf MOSAIC_00000036.
MOSAIC_00000817 is Class.
MOSAIC_00000817 SubClassOf MOSAIC_00000036.
MOSAIC_00000818 is Class.
MOSAIC_00000818 SubClassOf MOSAIC_00000036.
MOSAIC_00000819 is Class.
MOSAIC_00000819 SubClassOf MOSAIC_00000036,.
MOSAIC_00000819 SubClassOf MOSAIC_00011184.
MOSAIC_00000820 is Class.
MOSAIC_00000820 SubClassOf MOSAIC_00000036.
MOSAIC_00000821 is Class.
MOSAIC_00000821 SubClassOf MOSAIC_00000036.
MOSAIC_00000822 is Class.
MOSAIC_00000822 SubClassOf MOSAIC_00000036.
MOSAIC_00000823 is Class.
MOSAIC_00000823 SubClassOf MOSAIC_00000036.
MOSAIC_00000824 is Class.
MOSAIC_00000824 SubClassOf MOSAIC_00000036.
MOSAIC_00000825 is Class.
MOSAIC_00000825 SubClassOf MOSAIC_00000036.
MOSAIC_00000826 is Class.
MOSAIC_00000826 SubClassOf MOSAIC_00000036.
MOSAIC_00000827 is Class.
MOSAIC_00000827 SubClassOf MOSAIC_00000036.
MOSAIC_00000828 is Class.
MOSAIC_00000828 SubClassOf MOSAIC_00000036.
MOSAIC_00000829 is Class.
MOSAIC_00000829 SubClassOf MOSAIC_00000036.
MOSAIC_00000830 is Class.
MOSAIC_00000830 SubClassOf MOSAIC_00000036.
MOSAIC_00000831 is Class.
MOSAIC_00000831 SubClassOf MOSAIC_00000036.
MOSAIC_00000832 is Class.
MOSAIC_00000832 SubClassOf MOSAIC_00000036.
MOSAIC_00000833 is Class.
MOSAIC_00000833 SubClassOf MOSAIC_00000036.
MOSAIC_00000834 is Class.
MOSAIC_00000834 SubClassOf MOSAIC_00000036.
MOSAIC_00000835 is Class.
MOSAIC_00000835 SubClassOf MOSAIC_00000036.
MOSAIC_00000836 is Class.
MOSAIC_00000836 SubClassOf MOSAIC_00000036.
MOSAIC_00000837 is Class.
MOSAIC_00000837 SubClassOf MOSAIC_00000036.
MOSAIC_00000838 is Class.
MOSAIC_00000838 SubClassOf MOSAIC_00000036.
MOSAIC_00000839 is Class.
MOSAIC_00000839 SubClassOf MOSAIC_00000036.
MOSAIC_00000840 is Class.
MOSAIC_00000840 SubClassOf MOSAIC_00000036.
MOSAIC_00000841 is Class.
MOSAIC_00000841 SubClassOf MOSAIC_00000036.
MOSAIC_00000842 is Class.
MOSAIC_00000842 SubClassOf MOSAIC_00000036.
MOSAIC_00000843 is Class.
MOSAIC_00000843 SubClassOf MOSAIC_00000036.
MOSAIC_00000844 is Class.
MOSAIC_00000844 SubClassOf MOSAIC_00000036.
MOSAIC_00000845 is Class.
MOSAIC_00000845 SubClassOf MOSAIC_00000036.
MOSAIC_00000846 is Class.
MOSAIC_00000846 SubClassOf MOSAIC_00000036.
MOSAIC_00000847 is Class.
MOSAIC_00000847 SubClassOf MOSAIC_00000036.
MOSAIC_00000848 is Class.
MOSAIC_00000848 SubClassOf MOSAIC_00000036.
MOSAIC_00000849 is Class.
MOSAIC_00000849 SubClassOf MOSAIC_00000036.
MOSAIC_00000850 is Class.
MOSAIC_00000850 SubClassOf MOSAIC_00000036.
MOSAIC_00000851 is Class.
MOSAIC_00000851 SubClassOf MOSAIC_00000036.
MOSAIC_00000852 is Class.
MOSAIC_00000852 SubClassOf MOSAIC_00000036.
MOSAIC_00000853 is Class.
MOSAIC_00000853 SubClassOf MOSAIC_00000036.
MOSAIC_00000854 is Class.
MOSAIC_00000854 SubClassOf MOSAIC_00000036.
MOSAIC_00000855 is Class.
MOSAIC_00000855 SubClassOf MOSAIC_00000036.
MOSAIC_00000856 is Class.
MOSAIC_00000856 SubClassOf MOSAIC_00000036.
MOSAIC_00000857 is Class.
MOSAIC_00000857 SubClassOf MOSAIC_00000036.
MOSAIC_00000858 is Class.
MOSAIC_00000858 SubClassOf MOSAIC_00000036.
MOSAIC_00000859 is Class.
MOSAIC_00000859 SubClassOf MOSAIC_00000036.
MOSAIC_00000860 is Class.
MOSAIC_00000860 SubClassOf MOSAIC_00000036.
MOSAIC_00000861 is Class.
MOSAIC_00000861 SubClassOf MOSAIC_00000036.
