phenomebrowser.net/ontologies/mesh/mesh.# is ObjectProperty.
EBI-1000502 is Class.
EBI-1000502 SubClassOf MI_0915.
EBI-1001015 is Class.
EBI-1001015 SubClassOf MI_0915.
EBI-1004037 is Class.
EBI-1004037 SubClassOf MI_0915.
EBI-10042058 is Class.
EBI-10042058 SubClassOf MI_0915.
EBI-10042060 is Class.
EBI-10042060 SubClassOf MI_0915.
EBI-10042062 is Class.
EBI-10042062 SubClassOf MI_0915.
EBI-1004786 is Class.
EBI-1004786 SubClassOf MI_0915.
EBI-1004802 is Class.
EBI-1004802 SubClassOf MI_0915.
EBI-1005854 is Class.
EBI-1005854 SubClassOf MI_0915.
EBI-1005864 is Class.
EBI-1005864 SubClassOf MI_0915.
EBI-1005980 is Class.
EBI-1005980 SubClassOf MI_0915.
EBI-1006035 is Class.
EBI-1006035 SubClassOf MI_0915.
EBI-1006045 is Class.
EBI-1006045 SubClassOf MI_0915.
EBI-1006072 is Class.
EBI-1006072 SubClassOf MI_0915.
EBI-1006378 is Class.
EBI-1006378 SubClassOf MI_0915.
EBI-1006412 is Class.
EBI-1006412 SubClassOf MI_0915.
EBI-1006454 is Class.
EBI-1006454 SubClassOf MI_0915.
EBI-1006512 is Class.
EBI-1006512 SubClassOf MI_0915.
EBI-1006525 is Class.
EBI-1006525 SubClassOf MI_0915.
EBI-1006558 is Class.
EBI-1006558 SubClassOf MI_0915.
EBI-1006636 is Class.
EBI-1006636 SubClassOf MI_0915.
EBI-1008282 is Class.
EBI-1008282 SubClassOf MI_0915.
EBI-1008298 is Class.
EBI-1008298 SubClassOf MI_0915.
EBI-1008328 is Class.
EBI-1008328 SubClassOf MI_0915.
EBI-1008553 is Class.
EBI-1008553 SubClassOf MI_0915.
EBI-1009622 is Class.
EBI-1009622 SubClassOf MI_0915.
EBI-1009643 is Class.
EBI-1009643 SubClassOf MI_0915.
EBI-1009667 is Class.
EBI-1009667 SubClassOf MI_0915.
EBI-1009724 is Class.
EBI-1009724 SubClassOf MI_0915.
EBI-1009788 is Class.
EBI-1009788 SubClassOf MI_0915.
EBI-1009828 is Class.
EBI-1009828 SubClassOf MI_0915.
EBI-1013264 is Class.
EBI-1013264 SubClassOf MI_0915.
EBI-1013281 is Class.
EBI-1013281 SubClassOf MI_0915.
EBI-1014548 is Class.
EBI-1014548 SubClassOf MI_0915.
EBI-1014791 is Class.
EBI-1014791 SubClassOf MI_0915.
EBI-1017451 is Class.
EBI-1017451 SubClassOf MI_0915.
EBI-1017461 is Class.
EBI-1017461 SubClassOf MI_0915.
EBI-1017480 is Class.
EBI-1017480 SubClassOf MI_0915.
EBI-1017489 is Class.
EBI-1017489 SubClassOf MI_0915.
EBI-1017678 is Class.
EBI-1017678 SubClassOf MI_0915.
EBI-1017745 is Class.
EBI-1017745 SubClassOf MI_0915.
EBI-1017808 is Class.
EBI-1017808 SubClassOf MI_0915.
EBI-1018277 is Class.
EBI-1018277 SubClassOf MI_0915.
EBI-1024437 is Class.
EBI-1024437 SubClassOf MI_0915.
EBI-1025177 is Class.
EBI-1025177 SubClassOf MI_0915.
EBI-1025255 is Class.
EBI-1025255 SubClassOf MI_0915.
EBI-1025302 is Class.
EBI-1025302 SubClassOf MI_0915.
EBI-1025311 is Class.
EBI-1025311 SubClassOf MI_0915.
EBI-1025336 is Class.
EBI-1025336 SubClassOf MI_0915.
EBI-1025400 is Class.
EBI-1025400 SubClassOf MI_0915.
EBI-1025609 is Class.
EBI-1025609 SubClassOf MI_0915.
EBI-1026119 is Class.
EBI-1026119 SubClassOf MI_0915.
EBI-1027430 is Class.
EBI-1027430 SubClassOf MI_0915.
EBI-1027450 is Class.
EBI-1027450 SubClassOf MI_0915.
EBI-1029612 is Class.
EBI-1029612 SubClassOf MI_0915.
EBI-1030883 is Class.
EBI-1030883 SubClassOf MI_0915.
EBI-1030919 is Class.
EBI-1030919 SubClassOf MI_0915.
EBI-1032019 is Class.
EBI-1032019 SubClassOf MI_0915.
EBI-1032926 is Class.
EBI-1032926 SubClassOf MI_0915.
EBI-1032940 is Class.
EBI-1032940 SubClassOf MI_0915.
EBI-1033299 is Class.
EBI-1033299 SubClassOf MI_0915.
EBI-1036687 is Class.
EBI-1036687 SubClassOf MI_0915.
EBI-1036752 is Class.
EBI-1036752 SubClassOf MI_0915.
EBI-1037073 is Class.
EBI-1037073 SubClassOf MI_0915.
EBI-1037683 is Class.
EBI-1037683 SubClassOf MI_0915.
EBI-1037697 is Class.
EBI-1037697 SubClassOf MI_0915.
EBI-1039853 is Class.
EBI-1039853 SubClassOf MI_0915.
EBI-1039933 is Class.
EBI-1039933 SubClassOf MI_0915.
EBI-1039979 is Class.
EBI-1039979 SubClassOf MI_0915.
EBI-1040799 is Class.
EBI-1040799 SubClassOf MI_0915.
EBI-1040877 is Class.
EBI-1040877 SubClassOf MI_0915.
EBI-1040888 is Class.
EBI-1040888 SubClassOf MI_0915.
EBI-1040938 is Class.
EBI-1040938 SubClassOf MI_0915.
EBI-1040953 is Class.
EBI-1040953 SubClassOf MI_0915.
EBI-1041469 is Class.
EBI-1041469 SubClassOf MI_0915.
EBI-1042402 is Class.
EBI-1042402 SubClassOf MI_0915.
EBI-1042422 is Class.
EBI-1042422 SubClassOf MI_0915.
EBI-1042474 is Class.
EBI-1042474 SubClassOf MI_0915.
EBI-1042480 is Class.
EBI-1042480 SubClassOf MI_0915.
EBI-1059376 is Class.
EBI-1059376 SubClassOf MI_0915.
EBI-1059382 is Class.
EBI-1059382 SubClassOf MI_0915.
EBI-1059388 is Class.
EBI-1059388 SubClassOf MI_0915.
EBI-1059394 is Class.
EBI-1059394 SubClassOf MI_0915.
EBI-1059406 is Class.
EBI-1059406 SubClassOf MI_0915.
EBI-1059427 is Class.
EBI-1059427 SubClassOf MI_0915.
EBI-1059433 is Class.
EBI-1059433 SubClassOf MI_0915.
EBI-1059438 is Class.
EBI-1059438 SubClassOf MI_0915.
EBI-1059444 is Class.
EBI-1059444 SubClassOf MI_0915.
EBI-1059464 is Class.
EBI-1059464 SubClassOf MI_0915.
EBI-1059469 is Class.
EBI-1059469 SubClassOf MI_0915.
EBI-1059474 is Class.
EBI-1059474 SubClassOf MI_0915.
EBI-1059478 is Class.
EBI-1059478 SubClassOf MI_0915.
EBI-1059482 is Class.
EBI-1059482 SubClassOf MI_0915.
EBI-1059487 is Class.
EBI-1059487 SubClassOf MI_0915.
EBI-1059493 is Class.
EBI-1059493 SubClassOf MI_0915.
EBI-1059498 is Class.
