RO_0002481 is ObjectProperty.
GO_0003674 is Class.
GO_0016301 is Class.
GO_0016301 SubClassOf GO_0003674,.
GO_0016301 SubClassOf RO_0002481 Self.
IAO_8000000 is Class.
IAO_8000001 is Class.
IAO_8000001 SubClassOf IAO_8000000.
IAO_8000006 is Class.
IAO_8000012 is Class.
IAO_8000012 SubClassOf IAO_8000006.
NCBITaxon_9796 is Class.
VBO_0000892 is Class.
VBO_0000892 SubClassOf VBO_0000931.
VBO_0000893 is Class.
VBO_0000893 SubClassOf VBO_0000931.
VBO_0000894 is Class.
VBO_0000894 SubClassOf VBO_0000931.
VBO_0000895 is Class.
VBO_0000895 SubClassOf VBO_0000931.
VBO_0000896 is Class.
VBO_0000896 SubClassOf VBO_0000931.
VBO_0000897 is Class.
VBO_0000897 SubClassOf VBO_0000931.
VBO_0000898 is Class.
VBO_0000898 SubClassOf VBO_0000931.
VBO_0000899 is Class.
VBO_0000899 SubClassOf VBO_0000931.
VBO_0000900 is Class.
VBO_0000900 SubClassOf VBO_0000931.
VBO_0000901 is Class.
VBO_0000901 SubClassOf VBO_0000931.
VBO_0000902 is Class.
VBO_0000902 SubClassOf VBO_0000931.
VBO_0000903 is Class.
VBO_0000903 SubClassOf VBO_0000931.
VBO_0000904 is Class.
VBO_0000904 SubClassOf VBO_0000931.
VBO_0000905 is Class.
VBO_0000905 SubClassOf VBO_0000931.
VBO_0000906 is Class.
VBO_0000906 SubClassOf VBO_0000931.
VBO_0000907 is Class.
VBO_0000907 SubClassOf VBO_0000931.
VBO_0000908 is Class.
VBO_0000908 SubClassOf VBO_0000931.
VBO_0000909 is Class.
VBO_0000909 SubClassOf VBO_0000931.
VBO_0000910 is Class.
VBO_0000910 SubClassOf VBO_0000931.
VBO_0000911 is Class.
VBO_0000911 SubClassOf VBO_0000931.
VBO_0000912 is Class.
VBO_0000912 SubClassOf VBO_0000931.
VBO_0000913 is Class.
VBO_0000913 SubClassOf VBO_0000931.
VBO_0000915 is Class.
VBO_0000915 SubClassOf VBO_0000931.
VBO_0000916 is Class.
VBO_0000916 SubClassOf VBO_0000931.
VBO_0000918 is Class.
VBO_0000918 SubClassOf VBO_0000931.
VBO_0000919 is Class.
VBO_0000919 SubClassOf VBO_0000931.
VBO_0000920 is Class.
VBO_0000920 SubClassOf VBO_0000931.
VBO_0000921 is Class.
VBO_0000921 SubClassOf VBO_0000931.
VBO_0000922 is Class.
VBO_0000922 SubClassOf VBO_0000931.
VBO_0000923 is Class.
VBO_0000923 SubClassOf VBO_0000931.
VBO_0000924 is Class.
VBO_0000924 SubClassOf VBO_0000931.
VBO_0000925 is Class.
VBO_0000925 SubClassOf VBO_0000931.
VBO_0000927 is Class.
VBO_0000927 SubClassOf VBO_0000931.
VBO_0000928 is Class.
VBO_0000928 SubClassOf VBO_0000931.
VBO_0000929 is Class.
VBO_0000929 SubClassOf VBO_0000931.
VBO_0000930 is Class.
VBO_0000930 SubClassOf VBO_0000931.
VBO_0000931 is Class.
VBO_0000931 EquivalentTo NCBITaxon_9796 and VBO_0400000.
VBO_0000931 SubClassOf NCBITaxon_9796,.
VBO_0000931 SubClassOf VBO_0400000,.
VBO_0000931 SubClassOf VBO_0400033.
VBO_0000931 DisjointWith NCBITaxon_9796 and VBO_0400000.
VBO_0000932 is Class.
VBO_0000932 SubClassOf VBO_0000931.
VBO_0000933 is Class.
VBO_0000933 SubClassOf VBO_0000931.
VBO_0000934 is Class.
VBO_0000934 SubClassOf VBO_0000931.
VBO_0000935 is Class.
VBO_0000935 SubClassOf VBO_0000931.
VBO_0000936 is Class.
VBO_0000936 SubClassOf VBO_0000931.
VBO_0000937 is Class.
VBO_0000937 SubClassOf VBO_0000931.
VBO_0000938 is Class.
VBO_0000938 SubClassOf VBO_0000931.
VBO_0000939 is Class.
VBO_0000939 SubClassOf VBO_0000931.
VBO_0000940 is Class.
VBO_0000940 SubClassOf VBO_0000931.
VBO_0000941 is Class.
VBO_0000941 SubClassOf VBO_0000931.
VBO_0000942 is Class.
VBO_0000942 SubClassOf VBO_0000931.
VBO_0000943 is Class.
VBO_0000943 SubClassOf VBO_0000931.
VBO_0000944 is Class.
