www.obofoundry.org/ro/ro.# is ObjectProperty.
sao1231384859 is Class.
sao1231384859 SubClassOf sao-1337158144.
FMA_83604 is Class.
FMA_83604 SubClassOf nlx_subcell_20090505.
FMA_83605 is Class.
FMA_83605 SubClassOf nlx_subcell_20090505.
FMA_83606 is Class.
FMA_83606 SubClassOf nlx_subcell_20090505.
nlx_subcell_090801 is Class.
nlx_subcell_090801 SubClassOf sao120573470.
nlx_subcell_090802 is Class.
nlx_subcell_090802 SubClassOf sao120573470.
nlx_subcell_090901 is Class.
nlx_subcell_090901 SubClassOf sao120573470.
nlx_subcell_091021 is Class.
nlx_subcell_091021 SubClassOf sao914572699.
nlx_subcell_100203 is Class.
nlx_subcell_100203 SubClassOf sao508165343.
nlx_subcell_100205 is Class.
nlx_subcell_100205 SubClassOf sao508165343.
nlx_subcell_100209 is Class.
nlx_subcell_100209 SubClassOf sao508165343.
nlx_subcell_100210 is Class.
nlx_subcell_100210 SubClassOf sao508165343.
nlx_subcell_100315 is Class.
nlx_subcell_100315 SubClassOf MaterialEntity.
nlx_subcell_1005003 is Class.
nlx_subcell_1005003 SubClassOf sao-250931889.
nlx_subcell_20090101 is Class.
nlx_subcell_20090101 SubClassOf sao120573470.
nlx_subcell_20090102 is Class.
nlx_subcell_20090102 SubClassOf sao120573470.
nlx_subcell_20090103 is Class.
nlx_subcell_20090103 SubClassOf sao120573470.
nlx_subcell_20090104 is Class.
nlx_subcell_20090104 SubClassOf sao120573470.
nlx_subcell_20090105 is Class.
nlx_subcell_20090105 SubClassOf sao120573470.
nlx_subcell_20090201 is Class.
nlx_subcell_20090201 SubClassOf sao2409833926.
nlx_subcell_20090202 is Class.
nlx_subcell_20090202 SubClassOf sao2409833926.
nlx_subcell_20090202 DisjointWith sao1770195789.
nlx_subcell_20090501 is Class.
nlx_subcell_20090501 SubClassOf sao205380252.
nlx_subcell_20090502 is Class.
nlx_subcell_20090502 SubClassOf sao587858733.
nlx_subcell_20090503 is Class.
nlx_subcell_20090503 SubClassOf sao587858733.
nlx_subcell_20090504 is Class.
nlx_subcell_20090504 SubClassOf sao587858733.
nlx_subcell_20090505 is Class.
nlx_subcell_20090505 SubClassOf sao508165343.
nlx_subcell_20090506 is Class.
nlx_subcell_20090506 SubClassOf nlx_subcell_100315.
nlx_subcell_20090507 is Class.
nlx_subcell_20090507 SubClassOf nlx_subcell_20090506.
nlx_subcell_20090508 is Class.
nlx_subcell_20090508 SubClassOf nlx_subcell_20090506.
nlx_subcell_20090509 is Class.
nlx_subcell_20090509 SubClassOf nlx_subcell_20090506.
nlx_subcell_20090513 is Class.
nlx_subcell_20090513 SubClassOf sao9117790637.
nlx_subcell_20090703 is Class.
nlx_subcell_20090703 SubClassOf sao120573470.
sao-1046371754 is Class.
sao-1046371754 SubClassOf sao-250931889.
sao-1337158144 is Class.
sao-1337158144 SubClassOf nlx_subcell_100315.
sao-1367457321 is Class.
sao-1367457321 DisjointWith sao1049717962.
sao-1488888179 is Class.
sao-1488888179 SubClassOf sao386529203.
sao-1686050947 is Class.
sao-1686050947 SubClassOf sao-1819020575.
sao-1686050947 DisjointWith sao2019617624.
sao-1686050947 DisjointWith sao1682692988.
sao-1686050947 DisjointWith sao1546288504.
sao-1686050947 DisjointWith sao113580911.
sao-17780464455 is Class.
sao-17780464455 SubClassOf sao-3012335077.
sao-1819020575 is Class.
sao-1819020575 SubClassOf nlx_subcell_100315,.
sao-1819020575 SubClassOf sao1634374950.
sao-1819020575 DisjointWith sao340271629.
sao-1828894864 is Class.
sao-1828894864 SubClassOf sao340271629.
sao-1828894864 DisjointWith sao895885284.
sao-1828894864 DisjointWith sao864921383.
sao-1828894864 DisjointWith sao-82111036.
sao-1863852493 is Class.
sao-1863852493 SubClassOf sao952483289.
sao-188049490 is Class.
sao-188049490 SubClassOf sao340271629.
sao-188049490 DisjointWith sao936144858.
sao-188049490 DisjointWith sao830092290.
sao-188049490 DisjointWith sao1191319089.
sao-250931889 is Class.
sao-250931889 SubClassOf sao864921383.
sao-250931889 DisjointWith sao866168499.
sao-250931889 DisjointWith sao1049717962.
sao-250931889 DisjointWith sao1044911821.
sao-250931889 DisjointWith sao-867568886.
sao-250931889 DisjointWith sao-420949334.
sao-3012335077 is Class.
sao-3012335077 SubClassOf nlx_subcell_100315.
sao-420949334 is Class.
sao-420949334 DisjointWith sao866168499.
sao-420949334 DisjointWith sao1049717962.
sao-420949334 DisjointWith sao1044911821.
sao-420949334 DisjointWith sao-867568886.
sao-420949334 DisjointWith sao-250931889.
sao-593830697 is Class.
sao-593830697 SubClassOf sao195217619.
sao-596411490 is Class.
sao-596411490 DisjointWith sao1049717962.
sao-699412220 is Class.
sao-699412220 SubClassOf sao-1819020575.
sao-820130069 is Class.
sao-820130069 SubClassOf sao1044911821.
sao-82111036 is Class.
sao-82111036 SubClassOf sao340271629.
sao-82111036 DisjointWith sao895885284.
sao-82111036 DisjointWith sao864921383.
sao-82111036 DisjointWith sao-1828894864.
sao-867568886 is Class.
sao-867568886 SubClassOf sao864921383.
sao-867568886 DisjointWith sao866168499.
sao-867568886 DisjointWith sao1049717962.
sao-867568886 DisjointWith sao1044911821.
sao-867568886 DisjointWith sao-420949334.
sao-867568886 DisjointWith sao-250931889.
sao-961694769 is Class.
sao-961694769 SubClassOf sao-250931889.
sao1004601938 is Class.
sao1004601938 SubClassOf sao1682692988.
sao101633890 is Class.
sao101633890 EquivalentTo sao1539965131.
sao101633890 SubClassOf sao-1337158144.
sao101633890 DisjointWith sao830981606.
sao101633890 DisjointWith sao787716553.
sao101633890 DisjointWith sao730872736.
sao101633890 DisjointWith sao628508602.
sao101633890 DisjointWith sao221389602.
sao101633890 DisjointWith sao1938587839.
sao101633890 DisjointWith sao1784069613.
sao101633890 DisjointWith sao1663586795.
sao101633890 DisjointWith sao1539965131.
sao101633890 DisjointWith sao1397492660.
sao101633890 DisjointWith sao120573470.
sao101633890 DisjointWith sao11978067.
sao101633890 DisjointWith sao1081228141.
sao1036339110 is Class.
sao1036339110 SubClassOf sao414196390.
sao1038025871 is Class.
sao1038025871 SubClassOf nlx_subcell_100315.
sao1038025871 DisjointWith sao445019788.
sao1038025871 DisjointWith sao1747012216.
sao1039242387 is Class.
sao1039242387 SubClassOf sao1546288504.
sao1039242387 DisjointWith sao9456487.
sao1039242387 DisjointWith sao632188024.
sao1039242387 DisjointWith sao138219748.
sao1044911821 is Class.
sao1044911821 SubClassOf sao864921383.
sao1044911821 DisjointWith sao866168499.
sao1044911821 DisjointWith sao1049717962.
sao1044911821 DisjointWith sao-867568886.
sao1044911821 DisjointWith sao-420949334.
sao1044911821 DisjointWith sao-250931889.
sao1045389829 is Class.
sao1045389829 SubClassOf sao830981606.
sao1049471211 is Class.
sao1049471211 SubClassOf sao1499850686.
sao1049717962 is Class.
