www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
BFO_0000050 is ObjectProperty.
RO_0002211 is ObjectProperty.
XCO_0000014 is Class.
XCO_0000021 is Class.
XCO_0000021 SubClassOf XCO_0001231.
XCO_0000023 is Class.
XCO_0000023 SubClassOf XCO_0000163.
XCO_0000074 is Class.
XCO_0000074 SubClassOf XCO_0000163.
XCO_0000088 is Class.
XCO_0000089 is Class.
XCO_0000089 SubClassOf XCO_0000259.
XCO_0000090 is Class.
XCO_0000090 SubClassOf XCO_0000093.
XCO_0000091 is Class.
XCO_0000092 is Class.
XCO_0000092 SubClassOf XCO_0000294.
XCO_0000093 is Class.
XCO_0000093 SubClassOf XCO_0000089,.
XCO_0000093 SubClassOf XCO_0000278.
XCO_0000106 is Class.
XCO_0000106 SubClassOf XCO_0000341,.
XCO_0000106 SubClassOf XCO_0000850.
XCO_0000107 is Class.
XCO_0000107 SubClassOf XCO_0000106.
XCO_0000108 is Class.
XCO_0000108 SubClassOf XCO_0000107.
XCO_0000109 is Class.
XCO_0000109 SubClassOf XCO_0000106.
XCO_0000119 is Class.
XCO_0000120 is Class.
XCO_0000120 SubClassOf XCO_0000341.
XCO_0000121 is Class.
XCO_0000121 SubClassOf XCO_0000119,.
XCO_0000121 SubClassOf XCO_0000523.
XCO_0000122 is Class.
XCO_0000122 SubClassOf XCO_0000341.
XCO_0000123 is Class.
XCO_0000123 SubClassOf XCO_0000342,.
XCO_0000123 SubClassOf XCO_0000950.
XCO_0000124 is Class.
XCO_0000124 SubClassOf XCO_0000122,.
XCO_0000124 SubClassOf XCO_0000123.
XCO_0000125 is Class.
XCO_0000125 SubClassOf XCO_0000341.
XCO_0000126 is Class.
XCO_0000126 SubClassOf XCO_0000141,.
XCO_0000126 SubClassOf XCO_0000228.
XCO_0000127 is Class.
XCO_0000127 SubClassOf XCO_0000141,.
XCO_0000127 SubClassOf XCO_0000144,.
XCO_0000127 SubClassOf XCO_0000230.
XCO_0000130 is Class.
XCO_0000130 SubClassOf XCO_0000947.
XCO_0000131 is Class.
XCO_0000131 SubClassOf XCO_0000106.
XCO_0000132 is Class.
XCO_0000132 SubClassOf XCO_0000106,.
XCO_0000132 SubClassOf XCO_0000140,.
XCO_0000132 SubClassOf XCO_0001245.
XCO_0000133 is Class.
XCO_0000133 SubClassOf XCO_0000341.
XCO_0000134 is Class.
XCO_0000134 SubClassOf XCO_0000135.
XCO_0000135 is Class.
XCO_0000135 SubClassOf XCO_0000214.
XCO_0000136 is Class.
XCO_0000136 SubClassOf XCO_0000341.
XCO_0000137 is Class.
XCO_0000137 SubClassOf XCO_0000136.
XCO_0000138 is Class.
XCO_0000138 SubClassOf XCO_0000199,.
XCO_0000138 SubClassOf XCO_0000523.
XCO_0000139 is Class.
XCO_0000139 SubClassOf XCO_0000341.
XCO_0000140 is Class.
XCO_0000140 SubClassOf XCO_0000139.
XCO_0000141 is Class.
XCO_0000141 SubClassOf XCO_0000139.
XCO_0000142 is Class.
XCO_0000142 SubClassOf XCO_0000140.
XCO_0000143 is Class.
XCO_0000143 SubClassOf XCO_0000140,.
XCO_0000143 SubClassOf XCO_0000144.
XCO_0000144 is Class.
XCO_0000144 SubClassOf XCO_0000341.
XCO_0000145 is Class.
XCO_0000145 SubClassOf XCO_0000141,.
XCO_0000145 SubClassOf XCO_0000673.
XCO_0000149 is Class.
XCO_0000155 is Class.
XCO_0000160 is Class.
XCO_0000160 SubClassOf XCO_0000120.
XCO_0000161 is Class.
XCO_0000161 SubClassOf XCO_0000140,.
XCO_0000161 SubClassOf XCO_0000536.
XCO_0000162 is Class.
XCO_0000162 SubClassOf XCO_0000140,.
XCO_0000162 SubClassOf XCO_0000160.
XCO_0000163 is Class.
XCO_0000163 SubClassOf XCO_0000021.
XCO_0000164 is Class.
XCO_0000164 SubClassOf XCO_0000163.
XCO_0000171 is Class.
XCO_0000173 is Class.
XCO_0000178 is Class.
XCO_0000178 SubClassOf XCO_0000523,.
XCO_0000178 SubClassOf XCO_0000892.
XCO_0000185 is Class.
XCO_0000186 is Class.
XCO_0000186 SubClassOf XCO_0000693.
XCO_0000190 is Class.
XCO_0000190 SubClassOf XCO_0000126.
XCO_0000191 is Class.
XCO_0000191 SubClassOf XCO_0000126.
XCO_0000192 is Class.
XCO_0000192 SubClassOf XCO_0000330.
XCO_0000193 is Class.
XCO_0000197 is Class.
XCO_0000197 SubClassOf XCO_0000341.
XCO_0000198 is Class.
XCO_0000198 SubClassOf XCO_0000197.
XCO_0000199 is Class.
XCO_0000199 SubClassOf XCO_0000197.
XCO_0000200 is Class.
XCO_0000200 SubClassOf XCO_0000136.
XCO_0000204 is Class.
XCO_0000204 SubClassOf XCO_0000229.
XCO_0000205 is Class.
XCO_0000205 SubClassOf XCO_0000341.
XCO_0000206 is Class.
XCO_0000206 SubClassOf XCO_0000089,.
XCO_0000206 SubClassOf XCO_0000205.
XCO_0000207 is Class.
XCO_0000207 SubClassOf XCO_0000089.
XCO_0000208 is Class.
XCO_0000208 SubClassOf XCO_0000089,.
XCO_0000208 SubClassOf XCO_0000205.
XCO_0000214 is Class.
XCO_0000214 SubClassOf XCO_0000341.
XCO_0000216 is Class.
XCO_0000216 SubClassOf XCO_0000214.
XCO_0000217 is Class.
XCO_0000217 SubClassOf XCO_0000216.
XCO_0000218 is Class.
XCO_0000218 SubClassOf XCO_0000217.
XCO_0000219 is Class.
XCO_0000219 SubClassOf XCO_0000217.
XCO_0000220 is Class.
XCO_0000220 SubClassOf XCO_0000216.
XCO_0000221 is Class.
XCO_0000221 SubClassOf XCO_0000120.
