has_template is ObjectProperty.
15-LOX-1_mRNA is Class.
15-LOX-1_mRNA SubClassOf UnprocessedmRNA.
40S_mRNA is Class.
40S_mRNA SubClassOf UnprocessedmRNA.
60S_mRNA is Class.
60S_mRNA SubClassOf UnprocessedmRNA.
A2M_mRNA is Class.
A2M_mRNA SubClassOf UnprocessedmRNA.
ABCA1_mRNA is Class.
ABCA1_mRNA SubClassOf UnprocessedmRNA.
ABL_mRNA is Class.
ABL_mRNA SubClassOf UnprocessedmRNA.
ABchannel_mRNA is Class.
ABchannel_mRNA SubClassOf UnprocessedmRNA.
ACHE_mRNA is Class.
ACHE_mRNA SubClassOf UnprocessedmRNA.
ACO1_mRNA is Class.
ACO1_mRNA SubClassOf UnprocessedmRNA.
ACTA1_mRNA is Class.
ACTA1_mRNA SubClassOf UnprocessedmRNA.
ADAM10_mRNA is Class.
ADAM10_mRNA SubClassOf UnprocessedmRNA.
ADAM17_mRNA is Class.
ADAM17_mRNA SubClassOf UnprocessedmRNA.
ADAM_mRNA is Class.
ADAM_mRNA SubClassOf UnprocessedmRNA.
ADCY10_mRNA is Class.
ADCY10_mRNA SubClassOf UnprocessedmRNA.
ADRBK1_mRNA is Class.
ADRBK1_mRNA SubClassOf UnprocessedmRNA.
AGER_mRNA is Class.
AGER_mRNA SubClassOf UnprocessedmRNA.
AKT1S1_mRNA is Class.
AKT1S1_mRNA SubClassOf UnprocessedmRNA.
AKT1_mRNA is Class.
AKT1_mRNA SubClassOf UnprocessedmRNA.
ALB_mRNA is Class.
ALB_mRNA SubClassOf UnprocessedmRNA.
ALOX_mRNA is Class.
ALOX_mRNA SubClassOf UnprocessedmRNA.
AMPAR_mRNA is Class.
AMPAR_mRNA SubClassOf UnprocessedmRNA.
AP1_mRNA is Class.
AP1_mRNA SubClassOf UnprocessedmRNA.
APAF1_mRNA is Class.
APAF1_mRNA SubClassOf UnprocessedmRNA.
APBA1_mRNA is Class.
APBA1_mRNA SubClassOf UnprocessedmRNA.
APBB1_mRNA is Class.
APBB1_mRNA SubClassOf UnprocessedmRNA.
APC_mRNA is Class.
APC_mRNA SubClassOf UnprocessedmRNA.
APOE_mRNA is Class.
APOE_mRNA SubClassOf UnprocessedmRNA.
APPBP1_mRNA is Class.
APPBP1_mRNA SubClassOf UnprocessedmRNA.
APP_mRNA is Class.
APP_mRNA SubClassOf UnprocessedmRNA.
ARL4C_mRNA is Class.
ARL4C_mRNA SubClassOf UnprocessedmRNA.
ASC_mRNA is Class.
ASC_mRNA SubClassOf UnprocessedmRNA.
ATF6_mRNA is Class.
ATF6_mRNA SubClassOf UnprocessedmRNA.
ATG10_mRNA is Class.
ATG10_mRNA SubClassOf UnprocessedmRNA.
ATG11_mRNA is Class.
ATG11_mRNA SubClassOf UnprocessedmRNA.
ATG12_mRNA is Class.
ATG12_mRNA SubClassOf UnprocessedmRNA.
ATG13_mRNA is Class.
ATG13_mRNA SubClassOf UnprocessedmRNA.
ATG16_mRNA is Class.
ATG16_mRNA SubClassOf UnprocessedmRNA.
ATG17_mRNA is Class.
ATG17_mRNA SubClassOf UnprocessedmRNA.
ATG3_mRNA is Class.
ATG3_mRNA SubClassOf UnprocessedmRNA.
ATG4_mRNA is Class.
ATG4_mRNA SubClassOf UnprocessedmRNA.
ATG5_mRNA is Class.
ATG5_mRNA SubClassOf UnprocessedmRNA.
ATG7_mRNA is Class.
ATG7_mRNA SubClassOf UnprocessedmRNA.
ATP1_mRNA is Class.
ATP1_mRNA SubClassOf UnprocessedmRNA.
ATP2A_mRNA is Class.
ATP2A_mRNA SubClassOf UnprocessedmRNA.
ATP2_mRNA is Class.
ATP2_mRNA SubClassOf UnprocessedmRNA.
ATPsynth_mRNA is Class.
ATPsynth_mRNA SubClassOf UnprocessedmRNA.
B94_mRNA is Class.
B94_mRNA SubClassOf UnprocessedmRNA.
BACE1_mRNA is Class.
BACE1_mRNA SubClassOf UnprocessedmRNA.
BACE_mRNA is Class.
BACE_mRNA SubClassOf UnprocessedmRNA.
BAD_mRNA is Class.
BAD_mRNA SubClassOf UnprocessedmRNA.
BAX_mRNA is Class.
BAX_mRNA SubClassOf UnprocessedmRNA.
BCHE_mRNA is Class.
BCHE_mRNA SubClassOf UnprocessedmRNA.
BCL2L1_mRNA is Class.
BCL2L1_mRNA SubClassOf UnprocessedmRNA.
BCL2_mRNA is Class.
BCL2_mRNA SubClassOf UnprocessedmRNA.
BDNF_mRNA is Class.
BDNF_mRNA SubClassOf UnprocessedmRNA.
BF5-1_mRNA is Class.
BF5-1_mRNA SubClassOf UnprocessedmRNA.
BID_mRNA is Class.
BID_mRNA SubClassOf UnprocessedmRNA.
BTRC_mRNA is Class.
BTRC_mRNA SubClassOf UnprocessedmRNA.
C1Q_mRNA is Class.
C1Q_mRNA SubClassOf UnprocessedmRNA.
C2orf28_mRNA is Class.
C2orf28_mRNA SubClassOf UnprocessedmRNA.
C3_mRNA is Class.
C3_mRNA SubClassOf UnprocessedmRNA.
C5B_mRNA is Class.
C5B_mRNA SubClassOf UnprocessedmRNA.
C6_mRNA is Class.
C6_mRNA SubClassOf UnprocessedmRNA.
C7_mRNA is Class.
C7_mRNA SubClassOf UnprocessedmRNA.
C8_mRNA is Class.
C8_mRNA SubClassOf UnprocessedmRNA.
CACNA1_mRNA is Class.
CACNA1_mRNA SubClassOf UnprocessedmRNA.
CALM_mRNA is Class.
CALM_mRNA SubClassOf UnprocessedmRNA.
CAMK2_mRNA is Class.
